Monitoring Site,Inspection Period,Inspection Start Date,Collection Date,Region,County,Num. Colonies Inspected,Num. Colonies - No AFB Found,Num. Colonies with AFB (< 10 Cells),Num. Colonies with AFB (10 or More Cells),Num. Colonies - No EFB Found,Num. Colonies with EFB (< 10 Cells),Num. Colonies with EFB (10 or More Cells),Num. Colonies - No Chalkbrood Found,Num. Colonies with Chalkbrood (< 10 Cells),Num. Colonies with Chalkbrood (10 or More Cells),Num. Colonies - No Sacbrood Found,Num. Colonies with Sacbrood (< 10 Cells),Num. Colonies with Sacbrood (10 or More Cells),Num. Colonies with SHB Adults (1-20),Num. Colonies with SHB Adults (>20),Num. Colonies with SHB Larvae (1-20),Num. of Colonies with SHB Larvae (21-1/4cup),Num. Colonies with SHB Larvae (>1/4 cup),Average Varroa Infestation (%),Max Varroa Infestation (%),Num. Colonies - Queenless,Num. Colonies - Queenright,Num. Colonies - Queen Newly Installed,Num. Colonies - Virgin Queen,Num. Colonies - Queen Not Observed,% Colonies Queenless in Yard at Inspection,Acute Bee Paralysis Virus (log10 RNA copies/bee) - Average,Deformed Wing Virus (log10 RNA copies/bee) - Average,Israeli Acute Paralysis Virus (log10 RNA copies/bee) - Average,Nosema ceranae (log10 DNA copies/bee) - Average,Kashmir Bee Virus (log10 RNA copies/bee),Sacbrood Virus (log10 RNA copies/bee),Tracheal Mite Infestation (# bees infested per 25 bees tested)
21,3,09/01/19,9/1/19,East,OTTAWA REGION,5,5,,,5,,,4,,1,5,,,,,,,,3.00,8.33,,5,,,,0%,0,0,0,1.049,0,5.004,0
22,1,06/08/19,6/8/19,South,WATERLOO REGION,6,6,,,6,,,6,,,6,,,,,,,,0,0,,6,,,,0%,0,0,0,7.374,0,4.342,0
22,2,07/12/19,7/12/19,South,WATERLOO REGION,6,6,,,6,,,6,,,6,,,,,,,,0,0,,6,,,,0%,0,0,0,6.469,0,5.274,0
22,3,09/20/19,9/20/19,South,WATERLOO REGION,6,6,,,6,,,6,,,6,,,,,,,,0.11,0.33,,6,,,,0%,0,0.824,0,3.452,0,9.152,0
23,1,06/22/19,6/22/19,East,"STORMONT, DUNDAS & GLENGARRY COUNTY",6,6,,,6,,,6,,,6,,,,,,,,0.06,0.33,,6,,,,0%,0,0,0.955,6.556,0,6.955,0
23,2,07/27/19,7/27/19,East,"STORMONT, DUNDAS & GLENGARRY COUNTY",6,6,,,6,,,6,,,6,,,,,,,,0.17,0.67,,6,,,,0%,0,0.933,1.945,7.034,0,8.569,0
23,3,09/01/19,9/1/19,East,"STORMONT, DUNDAS & GLENGARRY COUNTY",6,6,,,6,,,6,,,6,,,,,,,,0.67,2.33,1,5,,,,16.7%,0,1.756,0,5.141,0,9.884,0
24,1,07/09/19,7/9/19,Central,SIMCOE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0,0,,6,,,,0%,0,0,0,5.711,0,8.818,0
24,2,08/28/19,8/28/19,Central,SIMCOE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.06,0.33,,6,,,,0%,0,2.315,4.913,3.130,0,7.848,0
24,3,10/01/19,10/1/19,Central,SIMCOE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.83,1.33,,6,,,,0%,0,6.061,1.748,2.441,0,6.310,0
25,1,06/28/19,6/28/19,Central,PEEL REGION,6,6,,,6,,,4,,2,6,,,,,,,,0,0,,6,,,,0%,0,0,5.080,6.998,0,5.616,0
25,2,07/17/19,7/17/19,Central,PEEL REGION,6,6,,,6,,,3,1,2,6,,,,,,,,0,0,,6,,,,0%,0,0,3.384,5.175,0,7.696,0
25,3,09/20/19,9/20/19,Central,PEEL REGION,5,5,,,5,,,5,,,5,,,,,,,,0.47,1.33,1,4,,,,20.0%,0,2.901,4.966,5.226,0,7.549,0
26,1,,6/24/19,Central,YORK REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6.540,0,9.338,0
26,2,08/30/19,8/30/19,Central,YORK REGION,6,6,,,6,,,6,,,6,,,,,,,,2.00,4.00,,6,,,,0%,6.677,5.027,5.359,3.471,0,9.384,0
27,1,06/28/19,6/28/19,Southwest,LAMBTON,6,6,,,6,,,6,,,6,,,,,,,,0,0,1,5,,,,16.7%,0,0,0,6.774,0,4.559,0
27,2,08/08/19,8/8/19,Southwest,LAMBTON,6,6,,,6,,,6,,,6,,,,,,,,0,0,1,4,,,,20.0%,0.798,0,0,1.353,0,0,0
27,3,10/14/19,10/14/19,Southwest,LAMBTON,6,6,,,6,,,6,,,6,,,,,,,,0,0,,5,,,,0%,5.115,0,0,0,0,0,0
28,1,06/12/19,6/12/19,Central,GREY COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.11,0.33,,6,,,,0%,0.693,0.813,9.312,6.778,7.164,0,0
28,2,07/22/19,7/22/19,Central,GREY COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.56,2.00,,5,1,,,0%,6.101,5.394,1.844,6.623,0,0,1
28,3,10/21/19,10/21/19,Central,GREY COUNTY,5,5,,,5,,,5,,,5,,,,,,,,0.27,0.67,,5,,,,0%,4.799,7.277,0,0,0,0,0
29,1,06/24/19,6/24/19,Southwest,MIDDLESEX COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0,0,,6,,,,0%,0.689,0.768,3.046,4.781,0,8.702,0
29,2,08/09/19,8/9/19,Southwest,MIDDLESEX COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.28,1.00,,6,,,,0%,7.807,0,1.069,0.872,0,7.895,0
29,3,10/14/19,10/14/19,Southwest,MIDDLESEX COUNTY,6,6,,,6,,,6,,,6,,,,,,,,2.44,6.67,,6,,,,0%,5.982,2.598,0,0,0,6.509,0
30,1,06/29/19,6/29/19,East,LEEDS & GRENVILLE COUNTY,6,6,,,6,,,5,,1,6,,,,,,,,0.39,2.00,,6,,,,0%,0,0,0.907,6.932,0,8.551,0
30,2,08/03/19,8/3/19,East,LEEDS & GRENVILLE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,2.44,4.67,,6,,,,0%,0,0,7.190,5.699,0,6.843,0
30,3,09/08/19,9/8/19,East,LEEDS & GRENVILLE COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.87,2.33,1,5,,,,16.7%,0,0,3.494,5.072,0,4.820,0
31,1,06/08/19,6/8/19,South,WATERLOO REGION,6,6,,,6,,,5,,1,6,,,,,,,,0,0,,6,,,,0%,0,0,0.980,7.268,0,6.625,0
31,2,07/11/19,7/18/19,South,WATERLOO REGION,6,6,,,6,,,6,,,6,,,,,,,,0.06,0.33,,6,,,,0%,0,0,0,5.852,0,7.396,0
31,3,09/19/19,9/20/19,South,WATERLOO REGION,6,6,,,6,,,6,,,6,,,,,,,,1.17,3.67,,6,,,,0%,3.106,0.785,0,4.185,0,9.179,1
32,1,06/12/19,6/12/19,Central,GREY COUNTY,6,6,,,6,,,5,,1,6,,,,,,,,0,0,,6,,,,0%,0,0,0,7.173,0,8.612,0
32,2,07/22/19,7/22/19,Central,GREY COUNTY,6,6,,,6,,,5,,1,6,,,,,,,,0.28,0.67,,6,,,,0%,0,0,1.664,4.097,7.685,9.743,0
32,3,10/21/19,10/21/19,Central,GREY COUNTY,6,6,,,6,,,6,,,6,,,,,,,,0.78,1.67,,6,,,,0%,0,3.810,1.552,0,0,8.017,0
